date,KOSPI
04-Jan,848.50 
04-Feb,883.42 
04-Mar,880.50 
04-Apr,862.84 
04-May,803.84 
04-Jun,785.79 
04-Jul,735.34 
04-Aug,803.57 
04-Sep,835.09 
04-Oct,834.84 
04-Nov,878.06 
04-Dec,895.92 
05-Jan,932.70 
05-Feb,1011.36 
05-Mar,965.68 
05-Apr,911.30 
05-May,970.21 
05-Jun,1008.16 
05-Jul,1111.29 
05-Aug,1083.33 
05-Sep,1221.01 
05-Oct,1158.11 
05-Nov,1297.44 
05-Dec,1379.37 
06-Jan,1399.83 
06-Feb,1371.59 
06-Mar,1359.60 
06-Apr,1419.73 
06-May,1317.70 
06-Jun,1295.15 
06-Jul,1297.82 
06-Aug,1352.74 
06-Sep,1371.41 
06-Oct,1364.55 
06-Nov,1432.21 
06-Dec,1434.46 
07-Jan,1360.23 
07-Feb,1417.34 
07-Mar,1452.55 
07-Apr,1542.24 
07-May,1700.91 
07-Jun,1743.60 
07-Jul,1933.27 
07-Aug,1873.24 
07-Sep,1946.48 
07-Oct,2064.85 
07-Nov,1906.00 
07-Dec,1897.13 
08-Jan,1624.68 
08-Feb,1711.62 
08-Mar,1703.99 
08-Apr,1825.47 
08-May,1852.02 
08-Jun,1674.92 
08-Jul,1594.67 
08-Aug,1474.24 
08-Sep,1448.06 
08-Oct,1113.06 
08-Nov,1076.07 
08-Dec,1124.47 
09-Jan,1162.11 
09-Feb,1063.03 
09-Mar,1206.26 
09-Apr,1369.36 
09-May,1395.89 
09-Jun,1390.07 
09-Jul,1557.29 
09-Aug,1591.85 
09-Sep,1673.14 
09-Oct,1580.69 
09-Nov,1555.60 
09-Dec,1682.77 
10-Jan,1602.43 
10-Feb,1594.58 
10-Mar,1692.85 
10-Apr,1741.56 
10-May,1641.25 
10-Jun,1698.29 
10-Jul,1759.33 
10-Aug,1742.75 
10-Sep,1872.81 
10-Oct,1882.95 
10-Nov,1904.63 
10-Dec,2051.00 
11-Jan,2069.73 
11-Feb,1939.30 
11-Mar,2106.70 
11-Apr,2192.36 
11-May,2142.47 
11-Jun,2100.69 
11-Jul,2133.21 
11-Aug,1880.11 
11-Sep,1769.65 
11-Oct,1909.03 
11-Nov,1847.51 
11-Dec,1825.74 
12-Jan,1955.79 
12-Feb,2030.25 
12-Mar,2014.04 
12-Apr,1981.99 
12-May,1843.47 
12-Jun,1854.01 
12-Jul,1881.99 
12-Aug,1905.12 
12-Sep,1996.21 
12-Oct,1912.06 
12-Nov,1932.90 
12-Dec,1997.05 
13-Jan,1961.94 
13-Feb,2026.49 
13-Mar,2004.89 
13-Apr,1963.95 
13-May,2001.05 
13-Jun,1863.32 
13-Jul,1914.03 
13-Aug,1926.36 
13-Sep,1996.96 
13-Oct,2030.09 
13-Nov,2044.87 
13-Dec,2011.34 
14-Jan,1941.15 
14-Feb,1979.99 
14-Mar,1985.61 
14-Apr,1961.79 
14-May,1994.96 
14-Jun,2002.21 
14-Jul,2076.12 
14-Aug,2068.54 
14-Sep,2020.09 
14-Oct,1964.43 
14-Nov,1980.78 
14-Dec,1915.59 
15-Jan,1949.26 
15-Feb,1985.80 
15-Mar,2041.03 
15-Apr,2127.17 
15-May,2114.80 
15-Jun,2074.20 
15-Jul,2030.16 
15-Aug,1941.49 
15-Sep,1962.81 
15-Oct,2029.47 
15-Nov,1991.97 
15-Dec,1961.31 
16-Jan,1912.06 
16-Feb,1916.66 
16-Mar,1995.85 
16-Apr,1994.15 
16-May,1983.40 
16-Jun,1970.35 
16-Jul,2016.19 
16-Aug,2034.65 
16-Sep,2043.63 
16-Oct,2008.19 
16-Nov,1983.48 
16-Dec,2026.46 
17-Jan,2067.57 
17-Feb,2091.64 
17-Mar,2160.23 
17-Apr,2205.44 
17-May,2347.38 
17-Jun,2391.79 
17-Jul,2402.71 
17-Aug,2363.19 
17-Sep,2394.47 
17-Oct,2523.43 
17-Nov,2476.37 
17-Dec,2467.49 
18-Jan,2566.46 
18-Feb,2427.36 
18-Mar,2445.85 
18-Apr,2515.38 
18-May,2423.01 
18-Jun,2326.13 
18-Jul,2295.26 
18-Aug,2322.88 
